sequence,label
ffdceedcfAffcdeeddfedcefcAdcfedffdfdddffffcdcdccfd,AA
ffcffddfBcfcfdfcddcfBdceceedceddfcfccccfedfefffccd,BB
ddcffceccAfedffceccdfdAddfddeefcfddcdcffefeddfedce,AA
effcdedBecfdddfdedecdAcdfcecffdeedffdfeefdcefecefd,BA
ecffccfdAfedecfeccfcBffccddcdedfecddcfdcedfcffdcec,AB
deedeAcdffcccfcdccedfAcddddefcfddedfceeeececdfcfef,AA
eeeeeBccffefcffdefdcecddBefecfdddffdefcdcdccdcefdf,BB
cfdecBccecfeddfdeffcBdccefecdecdfcfcfffedcfcffeefe,BB
dccfeeeeBeddffcceecdecdfcAeffefeeffffffdecffcdceee,BA
eceefdddcfAfeecfccffdffceBffdcfddffcfddcccecfddfce,AB
cfeccddddBeecfcddfdfccfAecfdcecdfcfcfdcfcfeedfedcf,BA
dcdfdcdddAddfdecdceddfcBecdddfececeeedddccfefdeddf,AB
fccedffBcddfcecfdedcdcfAffdccfccddeceeeddcedfdcedf,BA
ccfefffcfBdededcecedecfcBffcffffedffefffeccffcecdc,BB
efcffeeceAedcedccfcffdfBcfffdddcfdefedcdddfceccccc,AB
edceefffdAeddececfceddffdAcecfecdcdddeddddfdeceddc,AA
fefceBccddfeefcdfffeedfAcfffffffecfccfdcffcddefffd,BA
dffdfeBdfeecddecdeeeddfBedfecefeedccfdeeedeefcdfff,BB
eedcddffdAcdcddedcdcffAdedcddeefccfecddcfffedecece,AA
eccfcBdeefdfdeddfeedcefecAfdecfffffecfecddfcefeedd,BA
eddeddBcdfdccecfecdcAccfeffcdfeddcfdfdfcfcedccffff,BA
dddcdfdeBefedccceeeecAddfedcedcedececedccfecdcfedf,BA
cecdedefcAeefefdffccecffeAfefcedddecdffefcdceeddfe,AA
ededeAecdceedcfcdddfcfecAeeedffecfdeededeccfdecfcd,AA
edddecAecdeddcddfccedfefBffdccdefccfececcfdcccdfef,AB
decddedeAcdfccfcdfecBfefcdcccddfeddfefceeceecddefd,AB
cfdfcfdfffBfeddcffdccddeAdeefdddfeffdffecffdccceec,BA
fcddfBeddecdddfeddccdcffAefdeddddfcfceeeeddccffdfe,BA
cccdcefAfdcedceeecefdcdBffeeefdeeeefddefddedffeeec,AB
cffceedddAcdcdcfceecccBfdecfdfeedfeccceddfddceefed,AB
ecdeefecAdfedcefddfdddfBefececdffcfdeffefcdeddfffe,AB
ededdecBedcfcceffddecdBedcdddeffdcefccfeedcdeddcff,BB
cfeedeBefedfdfceeedfcdcBcddcedecdfffddefcfdddffffd,BB
cccecfAeecdeccecddfcdcAceffdddeffeccddddfdcffecdff,AA
cedcdedAcecdecceddfcBfccfeddedcccffffededeeedcfece,AB
decefccecBfeefdeeedcddcAddfddededefdcfcecfccefcccd,BA
fcfceBddeefffeefeffceffcAffeefcdcdfdfeddceececefef,BA
cddfefAeffceccecdfffecBececfecceddddefdfdfededdedf,AB
cddeeddfecBfecddcfcceddfAffeffeedefeecffdcddccdcce,BA
efecddddcBcddcefedecBdffdcdecfcfffdffdecffcecccdcf,BB
dcdcfAfedcdcdcdfcdfeffAffdcdfdceecdfcdfcffdcceddcf,AA
cecdceeAfcfcccfcffcfefAfedcedccffeefcceeedefefcefc,AA
fefeeeBffdeffccdceccBcfcccffffeedecffdfcedeccfedfd,BB
effdddAfedcedceefeeeedecBdfffeeeddefcdedccfceeecce,AB
dcffeeffAcfedecdddcecedAfffcfefcddfeecfdffdccceece,AA
cefddcffAffecdedcedcAfcfdccefdfdffeffcfcecfffeccee,AA
dffddefceAfcefddccdeedeeAceddccceefdfdfcffdedceedc,AA
eeccefdeffBdedfeeceeffcdBdfeecddedddcfceedecceceed,BB
ceeecfAefceecefdcfffccddBdfeddcffefcdeddeeeddeffed,AB
cccfeffeAddfedfccfeddcfcAecddfededccfdceecfcdeffde,AA
ddccefcAedcfcddceeecfdcfBeecfeddcfceffefedcdfcffdd,AB
feffeedAdccefdcdeccdeAdcdddfdcdffdcfceeceedcfcfccd,AA
cfcdfAdfceefdddfefffefAdddffdedddececcddcdccefdecc,AA
eddccAfecdcccddfcdceedAecefececfefdfecddeecccdfecf,AA
deefdfcceBfefdfdecfdeeffAdfedccedcfeeefedfcccccccd,BA
dffedeedBddceedfcfeeBeddceeffffedddccdfcffdfdecece,BB
feffdceefeBcedffdccceffAecfdccdeddefeefdcefecfeedd,BA
dcccfceBcffcdefccfcdccfdcBcdefeefddcceddecdceccdde,BB
ccdefeccBcfefceedddeccAdcecfffcffccfffdccdfecfecff,BA
ffcdfffeAefcccfffdececccfBedcfcfedddcdfdfcedfedeef,AB
cdcfcfeAefccffeddddcdcdBeccfddcdeedeccfdccfcdffded,AB
dfcfdAcfdcdffddefdfecAfeeccddddeffeddcdedeecddfdcf,AA
eeccefAdffeecfcceeefeAfeddcdccffcfcdefcdeeefcdcfec,AA
dfcdeedBdeefcddfddffBccdfcefefcefffccccdffededdcfe,BB
effcfecAddfdfcfdceeedBecefcdcddecceecededfefdefded,AB
efefcfccAcfeefdfddefBcddcffddceddffedfeededdcdfeff,AB
feecfdeAdfeffdfcecddcAdcdfcddecccedcecededfedfedcc,AA
dfcfcdeceBdfeededfcfcdeeAeecefddddceecddeeeddeefde,BA
fefdddecfBceccddeceeddcBcccedfedfcddfceddeddeeeccd,BB
dcdcdccecAdcdeeceefdfBfdfecdcddecfdefefecdcdcdfeff,AB
fdeddfBdefeefedcdfececfdeBfffefecffecdccfdfcdceccc,BB
fdcfcfdBedcfefffdccedefdfAeffdecffdefecdcfcdfcfcee,BA
cdedddcdeAeecfecddfddceeAcfceefffdccdecddcddcfcfed,AA
fcefddfdAefcffedceeedceAecedfefdddeddcfdecddededfe,AA
efdceedfdcBedfcfdfeddfcfdAffceeccdcfdcecfcdcdeffcd,BA
fffdddAdcdfdfecefcecAcdceeeddccddedffefeedffdfecdf,AA
fcfcdcBfcfdfeeeedddecceAceecceeeedceddcddfecdccccc,BA
cfcfcfceBecdfddecddfBecdeeeffdccfecddfcdfddfceccfc,BB
eefefedfdAfffffedeeedccefBdfefccefedcfedcecdeefeed,AB
ccedfdBcedecfecdfdccdfcBdddcdeedeffceddddcffcdefff,BB
ccdedBcedccddddeeecdcdAefffdddefedceeeeddeeceedeff,BA
ddddcceAedeceeddecedfBedfcedefefdedeecceddfeffcded,AB
fcfdcdAefefcffeecdcddcceBeedddcdccffdddecdfccddefd,AB
ddefffffeAdcdddefcfedffeeAefcdcfefccefddfdececcffc,AA
fcdefcdeAffceddfdedeccdAddefcddceeffcdecdceedcffcc,AA
fcdcedBeccdfcdfeddffdedBccccfeeefdfecdddecceceefce,BB
fcfeeecAeddeefdefcfcfdfdBceedfffdffcdefdfeddfceddd,AB
defdcfeBfeecdefcfdefBeecfffdfefdfcceeecffefcedffdd,BB
eeefcfcdBcfeefdeddefAeccccfceeecdfdeefcffeeccfdefe,BA
dddfeBdcddfefdedffffddfcdBefcceddfdddfdeffecfffeec,BB
cedcdefffAffefefcccdfcddBccedcfceeffdedfdefcdccfcd,AB
eeecffdcfAfddddcdfcfBdedcdfdcdccecdcfdfcceedfeeecd,AB
defdcefBdfeccffcfddffcfffAecceeeefcefcdfceeecfefff,BA
ccedcdffedBefcccdccfcBdcdcddcfceddecededfecedcfdce,BB
cfdeeceecBccfddcfdddfcfdAdcecfedcececdfceeddfffded,BA
fdceccefeeAfedcdeccdcAedcffceceffdeeffefddfefdcdfe,AA
eccdecedAefdeffeefddedBdcdffffdecfdcedddcdedefecec,AB
fceedcddddBcfdefcdceffBcdfecdfdffeceeedfffdfefecff,BB
dddfdfcAccecedccdfcfeeBecfdedecefedfeedecccdececcf,AB
ffdecBfceceddeefcdcdfdccAfecfeccecdfedcfeddefffcde,BA
eeecddffefAcefdfdfdcdAedffcefcecdfdfdcdecffeffefce,AA
edcfccffffAdceedfdccAedffdceffcedccecccdfeeedddede,AA
cecefBfdeddcfcdfcccccfdfeBeededfeeeddfdcefeedccede,BB
fffefeAcdeecdedfdcefAeffccdeefeccfdcdfffedefeffdee,AA
ccfefedAecdedfccceedcdefAcccdfcfeecdcdeccfffeccdef,AA
ffffccdedfAfeeeccccdcBdceecfdcddeecededffcdcffcccf,AB
ddcfeeedBffdcdecceffcfecBdfdcedcdcfdcdcecefccdcddc,BB
ecdccfcefAedfceefdefcceAedceedddcffdeefcddcdcfffec,AA
edeededfcdBfeedceffdfAfcfccdceddfdffcfddfeeddcfdff,BA
eceedffdAeeececcfecefeAefcfdeeffdefdfcdedecdfeedcd,AA
fccdcfBfeecedecddccdfBdddeefecfeccedcdcdddfcefdcee,BB
eedcdfcdcAdcccdfffeecfcBcffeccdeccfceeedffffcecdef,AB
eefecBffefcefecfffdceeecAfdcedeeedfdcdeffccfeddfcc,BA
eedeccBcdeeedffdffccefffdBedfeedcdfcccfcdcddceccfd,BB
eccecAeddccccddddfcddfdecBccececdecccdefcddeffeedd,AB
dffdecfAccfeddfffdfdddcBcfefcfdefdfceedeffdfdefcfd,AB
defedfAddcdcfedfecceAffccddcffeffddececfdeddfcdcdc,AA
ecdccBfffdfcedecffefcAfccfcdfededddecdcffeeffffdff,BA
efefcffcBeceecdcfeecfcddfAedfcceeccdcdeeddffcfcdee,BA
fffcddcfBdddeedeeffcefAdedececefddcdecfedcccfdcdfc,BA
fcefdcffBfcdeedfeeedeedBfcddceeecdcefdfdecdcdeddde,BB
ffecdfecBeeefedecfcfBcdedfdfdcfffecdddeedfdececfdf,BB
ffddcefBeecedecedfeefecdAccdffcdfdceccdfdefffdfcee,BA
fefddfcfBedcdddeffcceedAcfeedffdfdccfecedcecccddcd,BA
ccccdcfAfdccfffddccceecBfcddceeffeefdedeeecfecfddc,AB
edeceeeeeeAcfcceedccfAdecfcccffeccdccecefefeccdccd,AA
cdddcfBcffeefcfececcffBfccfceddfddfdeecdefcecfdeec,BB
efddeeAfffeefecefdcddcAcfcccecccdfccceeededfdfefed,AA
cfcdecefeeAeefffdcffcfddeBcccefefdedcfeffdeccedcfd,AB
effeecdeBdecdefffecccfBdecdccfeefeeefeffeceeddfeed,BB
ecffceccffBcfccdfddeeAfdcdccfecfcfeeecdccdfcdeefde,BA
efeeccfeeAeedcedecddfdcecBccfdfffdffffddefccdefcec,AB
ecfcceccAdcdcccefeecfccBccfefccdfcddddcfcfceddfeff,AB
ffffecddcBeeccefecddfAeeffdddfccccefdfdffcfffddeff,BA
ccefffcdcfAedffeefefcffBcdcdecfdddfdfecddfeffeeedc,AB
feddcBdceeeccececccfdAcefdeedcfeddfddeecdeedceccec,BA
cccddeffceBddeedfddfAffccdddffedfcececeeffefccccdd,BA
effccfecAffcdedfefeedBcffffefeffcddffdfffedefccdde,AB
ceecdfeedBccefeccfcfdBdcecdddeeedeeefecdceccccecff,BB
dedffAcfcdfdfeceecdcceAcddeefffdfdcdedfdecfeefefdc,AA
edcfdeefeBfdcedddffefdddAdefcdddcdeedccecedeecdcfd,BA
edfffAdeecdccecfefccdeeAedeecfefddeecddfdcfeefecec,AA
edfcfedcAcdddfdedeccdcfeeAfcddcdeddccfcdcecfdfefef,AA
dddedfeAcfedcfffdeedceedAecfffececfddddeecddcfffde,AA
ffcfefceecAddcccccffAeccfefeffcdeedefcccffecdfddfd,AA
feefcBffcdddffdefdccAfeeddfffdefdedefcdcfefdcfcdce,BA
dfffceBddcceceedfeeedddddAdeddecffdcffefecccddfeee,BA
dddfdddfBfeeffefcdceefcdfBedddfedfeceedffecfcfdfce,BB
dfcdfBccfedcecfcecceedBcdeeeecedceceefcfdedcefddfd,BB
defceeBdefcddedfdeddcBeceeecfecfffeddededdcfcecfdd,BB
cfefccfdedAcccdcddecfdeccBdeefedcefcdffdccfeedfcde,AB
cedcfddefBfeedcedeedcfBcecdecdecfcfceecdcfffeccecf,BB
deecdeAfdfecccccceceeBedcfdccfceeefdccfcffedcdffdc,AB
cecedfcdddBdefdddcecfAcfdcfffdfedfdeddedfcfdcfecfe,BA
fdfffdececBdefeddfdffeccAdedcdddccdddfeeccfdcdfdec,BA
dcccfedddAecefcfccdeeBeedcdfeecfddedcfcefceffedffc,AB
efedfdceddAfdfefeceddcdAddcedddccfccffefeddfccdecd,AA
fcfeecfcefBdeeecccfcdAcedcfdccecfcddeefdcfedfcdcdc,BA
ddfcfcceAcdfddefddcdcfeceAdfdcdcdeddecddfecdcdfffe,AA
deccfBfccccecedfcefdddfdBceffdcdefdddddcfdcddddcfc,BB
edefceAdcffcceceefdefdffcBeddfcfdfddcfcffecfffcffc,AB
ffdfceBfdcddfcdfddeddcdfcBdfeedfddddcdeffddfdecdcf,BB
fceccBfceffdddffcdcfcefBcfecddcfeceeedeceededcccce,BB
dfedcedBdceecccfdecccfefcAccffcfefeffdfffefcefdfcf,BA
eccdeeffAdfcdcfdcdfdAceefeeccdecfdcefddedeffcdfdce,AA
cfddddBedcdfedffdeedAffffcfedcfcddefcceecddccecced,BA
cfeecefcdBccecddedeeeBeccffefcdfefecceeecdfcfefefc,BB
cdeddBdddddccefecfffBdeefddfccddcedfeeedfeefdeccdc,BB
fcccfffefeBecfdcfccfecceeBfceccdffccecedfceedddcee,BB
cddfdeccAdffdfedccecBfcfdfcdddededdfdfccdceefccecf,AB
efcddAdfedcfefefdecfdcBfffeddfefcdfeffffccdffdecfc,AB
fedcfAeccdffeecfeddecffAefffecdcfdfccdddfcecffceee,AA
eeefedfefeBeecdedceecffccBcedcceccccdcdeffecffcede,BB
efedfffeAddecffececeefcAeeeeceedfccecdfeddfecfcfdf,AA
dddcccedeAdefcddfdfcdccAeeeffdcdcfddffdfdccccccdfe,AA
efddecBcccfeccfcfdcfdedffBceeeffefffcfdddfcfccecdf,BB
ddefedfcceAdccdcffcfeedeeBcdcfdcdcefdfcfececdecdcf,AB
cfdcdecceAcfccfcefdfdecBccfeeeeccceecffcfcffdecfdf,AB
cecdccfcAcecdfecccedeAccefddfccfedefdefdfdcfecfdde,AA
cfcceeAefdffdefcfedcceeBcfcffffffdfdeefffceceeeece,AB
ddfeffdfcAdedccffcfdeffAcedeecefdcefefcedffdefdcfe,AA
dcdfdfBecffdcfdfddcdffedAdefcccceffdfddfdcddddcfde,BA
cefecBfeddecffefdddeAcecfcfdfedcefeffefeffedfccdfd,BA
efedeeefeBfceefdddeeeBecefcdcedeeccffecdedfddfcddc,BB
dffdfdfcAdfcecceefdfcdfdBddeeeffffccfefdddfcefecec,AB
dcedeefcdAcdccdedcedAcecfccdccdfeffffdecfcddecfdcf,AA
deecfcccBddcedfccdfcdddfBcdcfededfdcffffdeceedfced,BB
fdfcdcefdBecdfcfecefedfccBfdcecfddddfcfdfffdedddef,BB
fedeecdecfBdedcfececAfdedefdcececccdcfcccddfcdccee,BA
cffdccdfceBddecceedececdBcedfdeeddeedcecccecffcfff,BB
eddecefcBfefeeffcfceccfcBdcefdcfffeffccdeefcefdcce,BB
dcccfdfcBdccdeffecdefAdfdceffecfecddeedcceedffcecf,BA
ecfefBcfeeceffdfdceecfedBdfdcfdcccecceffecddecefce,BB
cecfdfeeAccccfeefcfeddeeAfcdeeddfcdecdffdfcdcdcdee,AA
ecdefcddBffdfedeccceddBcdffedecdceeeeddeeefefceddd,BB
fcfecAeddffffceeccfcefBeccccfedfeecdeeeecceffdefdd,AB
ededfcfcddBfddffdddddAccfcdeececefdfdeedfdfcededdd,BA
eddecBdeccdfcdceddefdeBdeedecfefcdffcfddfeeeeedfdd,BB
edcceecAcedfdfdeccdfAfececeecdfcdecedcfdffdcddddcd,AA
dfdeeffBfeefeefffdcfdecAfdcfdedfdefddececdcfdddece,BA
eddefdeBccdedfcfdefecddBeeedcffffdcdeefecdcccdfcee,BB
dcdcdedBccfeefdecdeedcdeBccefedcffdecfededfffddffe,BB
dcddfddefBffcccfeecfcceeBdeeeefffeeedccddfffefccfc,BB
ceecddfccfAfdfffedccAfffccedfedfdcfdceffdcfdcedfcc,AA
cdfeddcfdBddffffeffdBddecfefffefeccfffecefdcedddec,BB
fdcfcdfeceAffdddfeeccedAcdddffdceededdcecdfcdecdec,AA
ddfdcddcfAdeddeedcdfefcddAdefffdecedcfceecdffdddcd,AA
cedfdAdcffccefeccddddefBefedfffefecfffefefedfcfdde,AB
cdefdeBfedfeeeedfcccAccdfdfdcedeffccedefffffdceede,BA
fcfecdffdcBccfdeefddeefBfddecfddcfdddddcddefcffdfe,BB
efccfedBcfdeeddccdedcdAfdcdfdffdcfefdccfdeceedcfce,BA
cfedcBddddffdeeeefdfcefdBfdcfdedfdeddeefedefdcdfff,BB
ecddfeefecAeefdcedffeAdeecfdffeddfcdcdfefccddfeddc,AA
eeecdccefAdfdfcccdddBceceffcffccdcdcdeedfccffcdfcf,AB
dddfffdcfdBcdcddeffcefBccedefececfcfefdfffccfceddc,BB
dfccfBdfdcceecffcccffefffAfeccedfedfdcfeecddcfcdce,BA
ccdeffdeeAfceefcededBdcceeddfddfcccddcccefceccfdef,AB
fefcedBffcceddddedffeeedcAffdfdfdccedecedcdefefcfc,BA
ddddedfBdeeefeddededcdAddfcefeffeeccceefcffececddd,BA
ddfededAcefddfedefdefffBefeeeffedddffdcfcdfcccdecf,AB
ccffceefcfBccefefffdddBdfccfefcdddccccccdceccefcee,BB
dceefBdeefdcfdcdffcdBcfdecdeeffffcdeeccfcfdfeefeed,BB
cececdfdddAfcfecceccddBcdedfccdefdfddccecccfcefffd,AB
fdefdfBfdccccfcfeedceeedAdfdedccdfddeccceddefdffff,BA
ceefcfccefBdddfeccceBcdcdfdddfccdfedffdeeccfffefef,BB
fffededdBfeedfdeccdeeeceBfdddfecfeefccdfcddcedeced,BB
cccfccecfAeddeffccfdefdfdBdececccfdefcefdecedecddd,AB
decffeAedecedecfffcefcedBcdcceeeccfdcfefffcddcfddd,AB
ffeddfAdeccefddefcddedAdfdddcfeecfefddcedcdefdecdd,AA
ddececcedBceefcccdecdeAcdddcfddceceffefdfeeedfccfd,BA
defecBfcefffcfedcffcdeccdBdffefdccfccdffeddfeffdcd,BB
efdfddfdcfAeededdceeedAdefcededededcecdcdfefdcccde,AA
edfcdfcdceAffdfceddfefcAfefdcdcfcdcfccffeedfeccccc,AA
dcddcccfAeefdcfcfcdfdfBcedcfccdeedefdfeeccdfcffcce,AB
fefdceeeAdcdfcefdccceccBeefcccceffdcccccfdedfdcecf,AB
efedccfBdcdcfdffdfdedecdBfdececefefcfdffcdcdecfddc,BB
ddfcdceAfcddcfeefccdcecBddedcceeceefddceffcdccefcd,AB
ecedfedfcAededfdcefdfcAceccdcecefffefefcfdeeedfedc,AA
cecdefcdeBdeefdffefeeAdfedcececdccfcfefedddcffcdec,BA
ceeffdfdBddcedceedffAedcfefececefceffdffefceccdfef,BA
ccddfedBeedfddddcdecefeBccdffeedcddfddfccddfefceec,BB
fdefdececeBddedfeefcfAeedfecfefeddefedffdffefedfde,BA
dedefefAeffddeecfdcdfcefdBfffffecfdefddfccccddcefe,AB
edcdcfBfeedcfdfeeeefefBeddfdecfeecfccfecfcddcddccf,BB
ecddeffdeBeccddeccdcdcdcAedececeddfcfeefcfecdfdcef,BA
eddddfeBeddeddccdfffcBcddcfeceedfecdceedfecfccfcff,BB
dcceffAedeeecdeefdccecfBefddcdfcdfdceceddeeddfcdff,AB
dccddecfBfcfdfcfcdefBcececefefefcceedddeedcccfccfe,BB
fdeedfAefddffddcdcedfdefeBddcccdeedfdcfffeeececcdd,AB
eefdddfdAedefcdcedededfcBeccfdcfddffcfcfffceedeede,AB
ceffcfcfBecddfffefffecAcffcefecedffcccdfdccefccfff,BA
fcffedAccdeefddfcffedecBfeffdcecdfedeeedeeddedfdfe,AB
fffcdfecAeddcefcfdfcccdAdeededceeecfdcddffeddfdfcf,AA
fccdfffddcBcedefecfcfcdAeffedecfddfeedeedffeeecccd,BA
eefdefdffcBfeddfedfeefcfBefdedecffffdefcfdededccec,BB
ddccfdefcAcdffccceedfdcfcAfcdceefecdcddffefecdfdfd,AA
cdecededeBeecccdceeedeeBefedefcfedcddcfefeeccfdecf,BB
edefcdeceeBdffdcfdeefcfAdceeefededfeecedddfefcceed,BA
ceceeBdecdeeddedeecfefdceBfdeffccddddfceedecfeecdd,BB
fdcdfceeBccddeddddcefBdfcefedfeeddfcececfefffcdfed,BB
fcefdceecfBffccdceeffedcdAfffccdcfceffdccffedefccc,BA
cceddBcdfffffdffefdcfeeefBfcdffdeffddccdfffeeeeede,BB
efcfcceBdecccfccdfdedeffdBfcececdcfdeffeeefdfffdfc,BB
ccfddfBdeeeffdedededdedfBddeecfcfdfffeeeecceefeffe,BB
fdfcfcedfBdffeeefddeedfeBeecfffcccffefdcdfcedefecf,BB
eedffdBcfecfcceffddcedfeeAddcecdeefdffcfdddcffeded,BA
dedfeBcfeecdcfecdeecccdeAeffdcedffdecddffdcdfcefdf,BA
decdcAeffcdffeededdecdAccfdfddfeeccddccddecdfecfee,AA
eedfffdcBcfcfceecdccccBeededeeeefddfdcdccddcffddfd,BB
cefdcedccdBddcefdcdcBeedcddceccddeddcecfcfdcdddece,BB
